Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,69,18,0,0,DOWN,180308722959
85922219,69,18,0,0,UP,180347287959
85922219,82,19,0,0,DOWN,180364122459
85922219,85,22,0,0,DOWN,180396024659
85922219,82,19,0,0,UP,180411218359
85922219,85,22,0,0,UP,180419329759
85922219,78,49,0,0,DOWN,180451840659
85922219,76,38,0,0,DOWN,180484030159
85922219,78,49,0,0,UP,180492759459
85922219,76,38,0,0,UP,180516545559
85922219,39,77,1,0,DOWN,180518303459
85922219,39,77,1,0,UP,180539368259
85922219,66,48,0,0,DOWN,180547547959
85922219,68,32,0,0,DOWN,180579876359
85922219,66,48,0,0,UP,180596142859
85922219,68,32,0,0,UP,180619159559
85922219,70,33,0,0,DOWN,180635089859
85922219,70,33,0,0,UP,180659147459
85922219,69,18,0,0,DOWN,180666970159
85922219,69,18,0,0,UP,180707236659
85922219,82,19,0,0,DOWN,180723830059
85922219,82,19,0,0,UP,180771784159
85922219,78,49,0,0,DOWN,180820163059
85922219,76,38,0,0,DOWN,180843727859
85922219,78,49,0,0,UP,180859167859
85922219,76,38,0,0,UP,180876731859
85922219,39,77,1,0,DOWN,180877737059
85922219,39,77,1,0,UP,180899539759
85922219,66,48,0,0,DOWN,180907303859
85922219,68,32,0,0,DOWN,180939228459
85922219,66,48,0,0,UP,180955191959
85922219,68,32,0,0,UP,180979513959
85922219,70,33,0,0,DOWN,180995890359
85922219,70,33,0,0,UP,181019704259
85922219,69,18,0,0,DOWN,181027375559
85922219,69,18,0,0,UP,181075672359
85922219,82,19,0,0,DOWN,181083174459
85922219,82,19,0,0,UP,181131830659
85922219,78,49,0,0,DOWN,181179867659
85922219,76,38,0,0,DOWN,181204699959
85922219,78,49,0,0,UP,181219448359
85922219,76,38,0,0,UP,181236566559
85922219,39,77,1,0,DOWN,181238338959
85922219,39,77,1,0,UP,181259434359
85922219,66,48,0,0,DOWN,181267191059
85922219,68,32,0,0,DOWN,181299700259
85922219,66,48,0,0,UP,181315316059
85922219,68,32,0,0,UP,181339275759
85922219,70,33,0,0,DOWN,181355349959
85922219,70,33,0,0,UP,181379353159
85922219,69,18,0,0,DOWN,181389011159
85922219,72,35,0,0,DOWN,181411334059
85922219,69,18,0,0,UP,181427325059
85922219,72,35,0,0,UP,181443307559
85922219,82,19,0,0,DOWN,181444934659
85922219,85,22,0,0,DOWN,181475318559
85922219,82,19,0,0,UP,181491717959
85922219,85,22,0,0,UP,181499198659
85922219,78,49,0,0,DOWN,181531370859
85922219,76,38,0,0,DOWN,181563022259
85922219,78,49,0,0,UP,181570932559
85922219,76,38,0,0,UP,181595740259
85922219,39,77,1,0,DOWN,181596152959
85922219,39,77,1,0,UP,181627812359
85922219,66,48,0,0,DOWN,181628348659
85922219,68,32,0,0,DOWN,181659419159
85922219,66,48,0,0,UP,181691211659
85922219,71,34,0,0,DOWN,181691429259
85922219,68,32,0,0,UP,181706826259
85922219,71,34,0,0,UP,181715053259
85922219,70,33,0,0,DOWN,181715607059
85922219,70,33,0,0,UP,181747032059
85922219,69,18,0,0,DOWN,181755199459
85922219,72,35,0,0,DOWN,181770939859
85922219,69,18,0,0,UP,181787034159
85922219,72,35,0,0,UP,181795219959
85922219,82,19,0,0,DOWN,181803288159
85922219,85,22,0,0,DOWN,181835443359
85922219,82,19,0,0,UP,181851366859
85922219,85,22,0,0,UP,181867233259
85922219,78,49,0,0,DOWN,181891307459
85922219,76,38,0,0,DOWN,181923073659
85922219,78,49,0,0,UP,181930946759
85922219,39,77,1,0,DOWN,181955202659
85922219,76,38,0,0,UP,181963194559
85922219,39,77,1,0,UP,181987044459
85922219,66,48,0,0,DOWN,181987209159
85922219,68,32,0,0,DOWN,182011222259
85922219,66,48,0,0,UP,182043686459
85922219,71,34,0,0,DOWN,182044118259
85922219,68,32,0,0,UP,182059131859
85922219,71,34,0,0,UP,182066944159
85922219,70,33,0,0,DOWN,182074901559
85922219,70,33,0,0,UP,182107282859
85922219,69,18,0,0,DOWN,182107515359
85922219,72,35,0,0,DOWN,182130977759
85922219,69,18,0,0,UP,182147119659
85922219,72,35,0,0,UP,182163243759
85922219,82,19,0,0,DOWN,182171102959
85922219,85,22,0,0,DOWN,182195259559
85922219,82,19,0,0,UP,182211040259
85922219,85,22,0,0,UP,182219269659
85922219,78,49,0,0,DOWN,182251183859
85922219,76,38,0,0,DOWN,182283063559
85922219,78,49,0,0,UP,182290918659
85922219,76,38,0,0,UP,182315442059
85922219,39,77,1,0,DOWN,182316699959
85922219,39,77,1,0,UP,182339630459
85922219,66,48,0,0,DOWN,182347408859
85922219,68,32,0,0,DOWN,182379353559
85922219,66,48,0,0,UP,182395308459
85922219,68,32,0,0,UP,182419456959
85922219,70,33,0,0,DOWN,182435389259
85922219,70,33,0,0,UP,182459306359
85922219,69,18,0,0,DOWN,182467309859
85922219,69,18,0,0,UP,182507386159
85922219,82,19,0,0,DOWN,182523388259
85922219,82,19,0,0,UP,182571270259
85922219,78,49,0,0,DOWN,182619210359
85922219,76,38,0,0,DOWN,182643385459
85922219,78,49,0,0,UP,182659395759
85922219,76,38,0,0,UP,182675597459
85922219,39,77,1,0,DOWN,182676797159
85922219,39,77,1,0,UP,182699254759
85922219,66,48,0,0,DOWN,182706820759
85922219,68,32,0,0,DOWN,182739377659
85922219,66,48,0,0,UP,182755433659
85922219,68,32,0,0,UP,182779433959
85922219,70,33,0,0,DOWN,182795417959
85922219,70,33,0,0,UP,182819266659
85922219,69,18,0,0,DOWN,182827230859
85922219,69,18,0,0,UP,182875223259
85922219,82,19,0,0,DOWN,182883352459
85922219,82,19,0,0,UP,182931222959
85922219,78,49,0,0,DOWN,182979353659
85922219,76,38,0,0,DOWN,183003310259
85922219,78,49,0,0,UP,183019361159
85922219,76,38,0,0,UP,183035172259
85922219,39,77,1,0,DOWN,183036287859
85922219,39,77,1,0,UP,183059247059
85922219,66,48,0,0,DOWN,183067138959
85922219,68,32,0,0,DOWN,183099953559
85922219,66,48,0,0,UP,183115961159
85922219,68,32,0,0,UP,183139394659
85922219,69,18,0,0,DOWN,183187096959
85922219,72,35,0,0,DOWN,183210962359
85922219,69,18,0,0,UP,183227389159
85922219,72,35,0,0,UP,183243246459
85922219,82,19,0,0,DOWN,183243485859
85922219,82,19,0,0,UP,183291301559
85922219,78,49,0,0,DOWN,183331343459
85922219,76,38,0,0,DOWN,183363194859
85922219,78,49,0,0,UP,183370834559
85922219,76,38,0,0,UP,183395175159
85922219,39,77,1,0,DOWN,183395945259
85922219,39,77,1,0,UP,183427809259
85922219,66,48,0,0,DOWN,183428132259
85922219,68,32,0,0,DOWN,183459206059
85922219,66,48,0,0,UP,183491787159
